K00,7,7
K01,8,7
K02,8,6
K03,9,7
K04,9,6
K05,10,7
K06,10,6
K07,11,7
K08,11,6
K09,12,7
K0A,12,6
K0B,13,7
K0C,15,5
K0D,13,2
K0E,13,6
K0F,14,5
K0G,14,7
K10,7,6
K11,7,5
K12,7,4
K13,8,5
K14,8,4
K15,8,3
K16,9,5
K17,9,4
K18,10,5
K19,10,4
K1A,11,5
K1B,12,5
K1C,13,4
K1D,14,3
K20,4,4
K21,4,7
K22,9,0
K23,5,7
K24,6,4
K25,6,5
K26,7,3
K27,8,2
K28,8,0
K29,10,3
K2A,11,4
K2B,12,4
K2C,13,3
K2D,14,1
K30,4,2
K31,4,3
K32,10,0
K33,5,3
K34,6,2
K35,6,3
K36,7,2
K37,9,1
K38,9,2
K39,10,2
K3A,11,3
K3B,12,3
K3C,15,2
K40,3,6
K41,4,1
K42,4,0
K43,5,1
K44,5,0
K45,6,1
K46,7,1
K47,8,1
K48,10,1
K49,11,2
K4A,12,2
K4B,3,7
K50,1,6
K51,6,0
K52,0,6
K53,2,6
K54,4,6
K55,2,7
K56,1,7
K57,14,4
K58,11,1
K59,15,7
K60,14,2
K61,15,4
K62,13,5
